ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1388581937,2024-07-02T13:54:58.672000,2024-07-02T13:57:38.420000,sell,0.02,0.02,XAUUSDm,2334.834,2334.692,2334.692,,0,0,0.29,,,sl
1388081433,2024-07-02T10:51:14.857000,2024-07-02T13:35:01.670000,buy,0.02,0.02,XAUUSDm,2325.065,2330.067,,2330.067,0,0,10,,,tp
1387843065,2024-07-02T08:54:09.429000,2024-07-02T11:38:26.844000,buy,0.06,0.06,NZDUSDm,0.60565,0.60558,0.60455,0.60751,0,0,-0.42,,,user
1388062011,2024-07-02T10:43:44.874000,2024-07-02T10:49:04.841000,buy,0.02,0.02,XAUUSDm,2325.529,2325.614,2325.614,,0,0,0.17,,,sl
1387707463,2024-07-02T07:55:19.202000,2024-07-02T08:40:49.775000,buy,0.09,0.09,GBPUSDm,1.26251,1.26289,,,0,0,3.42,,,user
1387272095,2024-07-02T04:09:54.473000,2024-07-02T04:48:05.534000,buy,0.09,0.09,GBPUSDm,1.26353,1.26316,1.26316,,0,0,-3.33,,,sl
1386819754,2024-07-01T19:35:34.254000,2024-07-01T19:38:25.873000,sell,0.02,0.02,XAUUSDm,2330.921,2330.324,2330.862,,0,0,1.19,,,user
1386182098,2024-07-01T14:05:16.712000,2024-07-01T14:10:36.408000,sell,0.02,0.02,XAUUSDm,2332.02,2328.706,2331.733,,0,0,6.63,,,user
1386114313,2024-07-01T13:56:35.711000,2024-07-01T14:00:00.743000,sell,0.08,0.08,AUDUSDm,0.66745,0.6689600000000001,0.6681,,0,0,-12.08,,,sl
1386096168,2024-07-01T13:51:12.678000,2024-07-01T13:54:41.174000,sell,0.05,0.05,USDJPYm,161.276,161.33,161.33,160.659,0,0,-1.67,,,sl
1385984591,2024-07-01T13:20:12.654000,2024-07-01T13:37:46.948000,buy,0.02,0.02,XAUUSDm,2327.463,2329.972,2329.972,,0,0,5.01,,,sl
1385314010,2024-07-01T08:11:22.005000,2024-07-01T08:14:12.626000,buy,0.02,0.02,XAUUSDm,2323.219,2323.767,2320.236,2326.96,0,0,1.09,,,user
