ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1016641344,2024-07-22T09:05:55.588000,2024-07-22T09:39:22.113000,buy,0.01,0.01,USOILm,78.595,78.295,78.295,,0,0,-3,,,sl
1016400430,2024-07-22T06:27:18.217000,2024-07-22T06:49:55.168000,buy,0.01,0.01,USOILm,78.776,78.676,78.676,,0,0,-1,,,sl
1016221156,2024-07-22T04:11:47.854000,2024-07-22T06:22:40.964000,buy,0.01,0.01,USOILm,78.872,78.75,78.75,,0,0,-1.22,,,sl
1016169890,2024-07-22T03:13:57.907000,2024-07-22T03:52:45.881000,sell,0.01,0.01,XAUUSDm,2407.179,2407.279,2407.279,,0,0,-0.1,,,sl
1014458097,2024-07-19T12:48:22.414000,2024-07-19T13:06:26.242000,buy,0.01,0.01,XAUUSDm,2402.219,2398.259,,,0,0,-3.96,-0.22,,so
1014349479,2024-07-19T12:06:54.976000,2024-07-19T13:06:26.240000,buy,0.01,0.01,XAUUSDm,2407.635,2398.259,,,0,0,-9.38,-0.22,,so
1014326483,2024-07-19T11:58:28.261000,2024-07-19T12:03:59.426000,buy,0.01,0.01,XAUUSDm,2409.422,2406.922,2406.922,,0,0,-2.5,,,sl
1014164664,2024-07-19T10:17:43.435000,2024-07-19T11:54:13.267000,buy,0.01,0.01,XAUUSDm,2411.56,2409.06,2409.06,,0,0,-2.5,,,sl
1013768708,2024-07-19T06:48:01.353000,2024-07-19T08:35:02.635000,buy,0.01,0.01,EURUSDm,1.08867,1.0878,1.0878,,0,0,-0.87,,,sl
1013744710,2024-07-19T06:37:09.555000,2024-07-19T08:35:02.634000,buy,0.01,0.01,EURUSDm,1.08881,1.0878,1.0878,,0,0,-1.01,,,sl
1009460821,2024-07-17T13:31:59.170000,2024-07-17T13:36:58.776000,sell,0.01,0.01,XAUUSDm,2472.801,2479.338,,,0,0,-6.54,-0.11,,so
1009118233,2024-07-17T10:49:10.141000,2024-07-17T13:09:24.887000,sell,0.01,0.01,XAUUSDm,2469.207,2478,2478,,0,0,-8.79,,,sl
1008723714,2024-07-17T07:31:26.362000,2024-07-17T08:00:49.449000,buy,0.03,0.03,EURJPYm,171.536,171.286,171.286,,0,0,-4.78,,,sl
1008561437,2024-07-17T05:58:51.884000,2024-07-17T07:28:19.580000,buy,0.03,0.03,USDCHFm,0.89363,0.89274,0.89274,,0,0,-2.99,,,sl
1008557663,2024-07-17T05:55:33.082000,2024-07-17T05:56:04.247000,buy,0.03,0.03,EURJPYm,172.316,172.2,172.2,,0,0,-2.2,,,sl
1008535880,2024-07-17T05:39:38.453000,2024-07-17T05:52:43.953000,buy,0.03,0.03,EURJPYm,172.533,172.283,172.283,,0,0,-4.75,,,sl
1007309934,2024-07-16T13:57:38.929000,2024-07-17T04:40:35.151000,buy,0.03,0.03,EURJPYm,172.613,172.608,172.608,,0,0,-0.09,,,sl
1006880494,2024-07-16T10:46:40.016000,2024-07-16T12:30:01.355000,buy,0.01,0.01,EURJPYm,172.675,172.45,172.45,,0,0,-1.42,,,sl
1006943558,2024-07-16T11:35:06.130000,2024-07-16T12:30:01.352000,buy,0.01,0.01,EURJPYm,172.622,172.45,172.45,,0,0,-1.09,,,sl
1006822250,2024-07-16T09:50:35.689000,2024-07-16T12:30:01.349000,buy,0.02,0.02,EURJPYm,172.604,172.45,172.45,,0,0,-1.94,,,sl
1006590637,2024-07-16T07:06:08.156000,2024-07-16T11:48:52.006000,buy,0.01,0.01,USDCHFm,0.89496,0.8954,0.8954,,0,0,0.49,,,sl
1006540419,2024-07-16T06:25:45.722000,2024-07-16T11:48:52.003000,buy,0.02,0.02,USDCHFm,0.89517,0.8954,0.8954,,0,0,0.51,,,sl
1006739714,2024-07-16T08:46:46.954000,2024-07-16T11:48:52.002000,buy,0.01,0.01,USDCHFm,0.89551,0.8954,0.8954,,0,0,-0.12,,,sl
1006894735,2024-07-16T11:00:45.680000,2024-07-16T11:04:32.753000,buy,0.01,0.01,USOILm,80.073,79.873,79.873,,0,0,-2,,,sl
1006771478,2024-07-16T09:16:18.847000,2024-07-16T09:28:14.711000,sell,0.01,0.01,XAUUSDm,2438.943,2441,2441,,0,0,-2.06,,,sl
1006603122,2024-07-16T07:16:10.136000,2024-07-16T08:12:21.222000,sell,0.01,0.01,XAUUSDm,2434.879,2434.779,2434.779,,0,0,0.1,,,sl
1006567612,2024-07-16T06:51:19.109000,2024-07-16T07:00:55.908000,sell,0.01,0.01,XAUUSDm,2432.277,2435,2435,,0,0,-2.72,,,sl
1005996621,2024-07-15T18:02:57.867000,2024-07-16T06:07:19.407000,buy,0.01,0.01,XAUUSDm,2421.181,2429,2429,,0,0,7.82,,,sl
1005927202,2024-07-15T17:18:46.215000,2024-07-16T04:39:10.180000,buy,0.02,0.02,USDCHFm,0.89556,0.89552,0.89552,,0,0,-0.09,,,sl
1005576058,2024-07-15T14:39:25.689000,2024-07-15T16:41:48.939000,buy,0.01,0.01,USDCHFm,0.89521,0.8942,0.8942,,0,0,-1.13,,,sl
1005454194,2024-07-15T13:34:10.640000,2024-07-15T16:41:48.938000,buy,0.01,0.01,USDCHFm,0.89391,0.8942,0.8942,,0,0,0.32,,,sl
1005412744,2024-07-15T13:11:23.654000,2024-07-15T16:05:28.075000,buy,0.01,0.01,EURJPYm,172.462,172.2,172.2,,0,0,-1.66,,,sl
1005318287,2024-07-15T12:12:01.035000,2024-07-15T16:05:28.074000,buy,0.01,0.01,EURJPYm,172.376,172.2,172.2,,0,0,-1.11,,,sl
1005394437,2024-07-15T13:00:46.520000,2024-07-15T13:09:39.831000,buy,0.01,0.01,XAUUSDm,2414.663,2412,2412,,0,0,-2.66,,,sl
1004939675,2024-07-15T06:49:39.999000,2024-07-15T12:35:46.062000,buy,0.01,0.01,XAUUSDm,2403.198,2415.5,2415.5,,0,0,12.3,,,sl
1004774432,2024-07-15T04:12:39.736000,2024-07-15T07:12:06.516000,buy,0.01,0.01,EURJPYm,172.143,171.904,171.904,,0,0,-1.51,,,sl
1004900298,2024-07-15T06:24:17.450000,2024-07-15T06:25:56.056000,buy,0.01,0.01,XAUUSDm,2405.632,2404,2404,,0,0,-1.63,,,sl
1003792774,2024-07-12T18:11:36.566000,2024-07-15T01:54:16.456000,sell,0.01,0.01,XAUUSDm,2416.267,2410,2410,,0,0,6.27,,,sl
1002949819,2024-07-12T10:33:52.781000,2024-07-12T12:30:02.157000,buy,0.01,0.01,XAUUSDm,2401.575,2396.917,2397.575,,0,0,-4.66,,,sl
1002852323,2024-07-12T09:20:42.962000,2024-07-12T11:00:00.509000,sell,0.02,0.02,GBPUSDm,1.29475,1.2962500000000001,1.2962500000000001,,0,0,-3,,,sl
999310373,2024-07-10T08:46:15.042000,2024-07-10T12:33:28.275000,buy,0.01,0.01,BTCUSDm,58766.85,58066.85,58066.85,,0,0,-7,,,sl
999148419,2024-07-10T06:01:44.109000,2024-07-10T07:10:52.598000,buy,0.01,0.01,USOILm,80.348,80.15,80.15,,0,0,-1.98,,,sl
980253003,2024-06-26T10:57:48.683000,2024-06-26T15:19:05.007000,sell,0.02,0.02,USDJPYm,160.27,160.685,,,0,0,-5.17,-0.18,,so
980200154,2024-06-26T10:28:48.238000,2024-06-26T15:19:05.005000,sell,0.02,0.02,USDJPYm,160.111,160.685,,,0,0,-7.14,-0.18,,so
980182280,2024-06-26T10:22:54.376000,2024-06-26T10:26:10.969000,buy,0.01,0.01,XAUUSDm,2309.824,2307.824,2307.824,,0,0,-2,,,sl
979754131,2024-06-26T06:06:14.456000,2024-06-26T10:18:26.180000,buy,0.01,0.01,XAUUSDm,2310.616,2312,2312,,0,0,1.38,,,sl
979548030,2024-06-26T03:22:23.844000,2024-06-26T09:35:26.726000,sell,0.01,0.01,USDJPYm,159.81,160.06,160.06,,0,0,-1.56,,,sl
980018391,2024-06-26T08:36:19.670000,2024-06-26T09:35:26.725000,sell,0.01,0.01,USDJPYm,159.922,160.06,160.06,,0,0,-0.86,,,sl
978130117,2024-06-25T13:03:53.173000,2024-06-26T08:16:30.618000,buy,0.01,0.01,BTCUSDm,61098.01,61500,61500,,0,0,4.02,,,sl
979519286,2024-06-26T03:00:26.976000,2024-06-26T04:33:02.798000,buy,0.01,0.01,XAUUSDm,2319.074,2316.074,2316.074,,0,0,-3,,,sl
977995428,2024-06-25T12:17:34.056000,2024-06-25T12:31:55.818000,buy,0.01,0.01,XAUUSDm,2328.006,2326.006,2326.006,,0,0,-2,,,sl
977423454,2024-06-25T06:34:32.824000,2024-06-25T11:26:25.764000,buy,0.01,0.01,XAUUSDm,2324.677,2331,2331,,0,0,6.32,,,sl
972200940,2024-06-20T05:23:48.507000,2024-06-20T05:37:05.176000,sell,0.01,0.01,XAUUSDm,2341.448,2344.448,2344.448,,0,0,-3,,,sl
971871578,2024-06-19T16:22:01.112000,2024-06-20T01:01:46.703000,sell,0.01,0.01,XAUUSDm,2331.172,2331.272,2331.272,,0,0,-0.1,,,sl
971729828,2024-06-19T13:58:57.028000,2024-06-19T15:52:44.703000,sell,0.01,0.01,XAUUSDm,2327.981,2329.481,2329.481,,0,0,-1.5,,,sl
971542044,2024-06-19T11:08:39.839000,2024-06-19T11:40:05.387000,sell,0.01,0.01,XAUUSDm,2326.135,2330.135,2330.135,,0,0,-4,,,sl
971272163,2024-06-19T06:15:20.135000,2024-06-19T07:04:17.002000,sell,0.01,0.01,XAUUSDm,2329.544,2331.544,2331.544,,0,0,-2,,,sl
961236619,2024-06-10T12:24:30.769000,2024-06-10T14:44:50.287000,sell,0.01,0.01,USOILm,76.023,76.3,76.3,,0,0,-2.77,,,sl
961160994,2024-06-10T11:35:37.345000,2024-06-10T11:55:03.025000,sell,0.01,0.01,XAUUSDm,2300.779,2304.779,2304.779,,0,0,-4,,,sl
961072611,2024-06-10T10:01:15.285000,2024-06-10T10:33:43.345000,buy,0.02,0.02,GBPUSDm,1.26975,1.26875,1.26875,,0,0,-2,,,sl
960992770,2024-06-10T08:50:35.072000,2024-06-10T09:28:17.264000,buy,0.01,0.01,EURUSDm,1.07586,1.0752,1.0752,,0,0,-0.66,,,sl
960919220,2024-06-10T07:33:32.935000,2024-06-10T09:28:17.261000,buy,0.01,0.01,EURUSDm,1.07625,1.0752,1.0752,,0,0,-1.05,,,sl
960887343,2024-06-10T07:11:41.386000,2024-06-10T09:28:17.260000,buy,0.02,0.02,EURUSDm,1.07503,1.0752,1.0752,,0,0,0.34,,,sl
960910400,2024-06-10T07:27:40.125000,2024-06-10T07:39:35.064000,buy,0.01,0.01,EURUSDm,1.07603,1.0758,1.0758,,0,0,-0.23,,,sl
960748057,2024-06-10T05:17:41.037000,2024-06-10T06:58:20.178000,buy,0.02,0.02,EURUSDm,1.07513,1.0752,1.0752,,0,0,0.14,,,sl
960330216,2024-06-08T03:12:42.757000,2024-06-09T12:47:02.985000,sell,0.01,0.01,BTCUSDm,69421.81,69721.81,69721.81,,0,0,-3,,,sl
959892298,2024-06-07T15:54:07.294000,2024-06-07T18:38:47.452000,buy,0.01,0.01,XAUUSDm,2306.441,2300.441,2300.441,,0,0,-6,,,sl
958387545,2024-06-07T07:07:39.072000,2024-06-07T12:31:02.652000,buy,0.02,0.02,USDCHFm,0.8887,0.8945900000000001,0.8904,,0,0,13.17,,,user
958199579,2024-06-07T04:32:30.762000,2024-06-07T12:31:02.645000,buy,0.02,0.02,USDCHFm,0.88987,0.8945900000000001,0.8904,,0,0,10.55,,,user
958120141,2024-06-07T03:11:50.659000,2024-06-07T12:31:02.641000,buy,0.02,0.02,USDCHFm,0.89024,0.8945900000000001,0.8904,,0,0,9.73,,,user
958829852,2024-06-07T11:01:20.527000,2024-06-07T12:28:02.586000,buy,0.01,0.01,XAUUSDm,2332.764,2332.622,2329.764,,0,0,-0.14,,,user
958800968,2024-06-07T10:39:19.989000,2024-06-07T10:50:43.701000,buy,0.01,0.01,XAUUSDm,2335.029,2332.029,2332.029,,0,0,-3,,,sl
958136882,2024-06-07T03:30:13.166000,2024-06-07T04:25:19.006000,sell,0.01,0.01,XAUUSDm,2377.947,2382.947,2382.947,,0,0,-5,,,sl
956033459,2024-06-05T15:12:33.292000,2024-06-05T15:37:50.488000,sell,0.01,0.01,XAUUSDm,2351.616,2355.616,2355.616,,0,0,-4,,,sl
955722802,2024-06-05T13:17:57.917000,2024-06-05T14:32:26.366000,sell,0.01,0.01,XAUUSDm,2343.091,2348.091,2348.091,,0,0,-5,,,sl
955650283,2024-06-05T12:42:15.379000,2024-06-05T12:54:30.063000,sell,0.01,0.01,XAUUSDm,2337.53,2343.53,2343.53,,0,0,-6,,,sl
955159405,2024-06-05T05:16:23.388000,2024-06-05T06:26:23.739000,sell,0.01,0.01,XAUUSDm,2340.887,2331.039,2338,,0,0,9.85,,,user
955132044,2024-06-05T04:53:55.480000,2024-06-05T05:06:09.960000,sell,0.01,0.01,XAUUSDm,2337.788,2340.288,2340.288,,0,0,-2.5,,,sl
951948134,2024-06-03T23:48:47.267000,2024-06-04T07:55:49.191000,buy,0.01,0.01,USOILm,73.991,72.861,,,0,0,-11.3,-0.16,,so
949657630,2024-06-03T08:03:08.761000,2024-06-03T18:07:59.160000,sell,0.02,0.02,EURJPYm,170.267,170.15,170.15,,0,0,1.5,,,sl
949796329,2024-06-03T09:27:44.928000,2024-06-03T18:07:59.158000,sell,0.01,0.01,EURJPYm,170.272,170.15,170.15,,0,0,0.78,,,sl
950075815,2024-06-03T12:16:21.326000,2024-06-03T18:07:59.150000,sell,0.01,0.01,EURJPYm,170.112,170.15,170.15,,0,0,-0.24,,,sl
949666791,2024-06-03T09:49:11.772000,2024-06-03T18:07:59.150000,sell,0.01,0.01,EURJPYm,170.1,170.15,170.15,,0,0,-0.32,,,sl
949159022,2024-06-03T04:25:56.920000,2024-06-03T18:07:59.148000,sell,0.01,0.01,EURJPYm,170.825,170.15,170.15,,0,0,4.32,,,sl
950753259,2024-06-03T15:27:51.811000,2024-06-03T15:29:34.065000,buy,0.01,0.01,USOILm,74.251,74.183,73.951,,0,0,-0.68,,,user
950181081,2024-06-03T13:00:09.385000,2024-06-03T13:22:30.673000,buy,0.01,0.01,USOILm,76.544,76.344,76.344,,0,0,-2,,,sl
950072987,2024-06-03T12:14:37.045000,2024-06-03T12:15:01.450000,sell,0.01,0.01,EURJPYm,170.121,170.15,170.15,,0,0,-0.18,,,sl
949068394,2024-06-03T03:40:34.207000,2024-06-03T05:43:36.785000,buy,0.01,0.01,XAUUSDm,2324.201,2318,2318,,0,0,-6.2,,,sl
947284047,2024-05-31T14:38:08.231000,2024-05-31T14:48:36.242000,buy,0.01,0.01,USOILm,77.388,77.188,77.188,,0,0,-2,,,sl
945337342,2024-05-31T01:12:51.330000,2024-05-31T13:31:00.413000,buy,0.01,0.01,USOILm,77.524,77.8,77.8,,0,0,2.76,,,sl
945293139,2024-05-31T00:53:04.193000,2024-05-31T13:31:00.412000,buy,0.01,0.01,USOILm,77.554,77.8,77.8,,0,0,2.46,,,sl
943836427,2024-05-30T16:52:23.888000,2024-05-30T17:16:07.224000,buy,0.01,0.01,USOILm,77.826,77.5,77.5,,0,0,-3.26,,,sl
943742144,2024-05-30T16:22:31.819000,2024-05-30T17:16:07.223000,buy,0.01,0.01,USOILm,78,77.5,77.5,,0,0,-5,,,sl
943033103,2024-05-30T13:10:09.498000,2024-05-30T15:43:43.281000,buy,0.01,0.01,USOILm,78.37,77.97,77.97,,0,0,-4,,,sl
943012348,2024-05-30T12:45:37.302000,2024-05-30T12:47:54.331000,buy,0.01,0.01,USOILm,78.589,78.5,78.5,,0,0,-0.89,,,sl
942859450,2024-05-30T12:15:21.330000,2024-05-30T12:47:54.329000,buy,0.01,0.01,USOILm,78.655,78.5,78.5,,0,0,-1.55,,,sl
